date, pm25, pm10, o3, no2
2020/5/1, 12, 5, , 
2020/5/2, 29, 7, , 1
2020/5/3, 37, 12, , 
2020/5/4, 40, 32, , 2
2020/5/5, 36, 32, , 2
2020/5/6, 34, 32, , 2
2020/5/7, 44, 45, , 6
2020/5/8, 56, 30, , 4
2020/5/9, 49, 22, , 
2020/5/11, 28, 28, , 2
2020/5/12, 34, 44, , 4
2020/5/13, 51, 15, , 1
2020/5/14, 28, 23, , 4
2020/5/15, 31, 26, , 1
2020/5/16, 38, 17, , 1
2020/5/17, 29, 33, , 4
2020/5/18, 45, 34, , 5
2020/5/19, 42, 26, , 2
2020/5/20, 38, 15, , 1
2020/5/21, 24, 38, , 4
2020/5/22, 48, 20, , 
2020/5/23, 27, 14, , 
2020/5/24, 25, 12, , 1
2020/5/25, 26, 23, , 2
2020/5/26, 27, 28, , 2
2020/5/27, 39, 23, , 2
2020/5/28, 28, , , 
2020/4/9, 62, 42, 43, 6
2020/4/10, 38, 20, , 
2020/4/11, 32, 21, , 2
2020/4/12, 43, 15, , 1
2020/4/13, 33, 19, , 1
2020/4/14, 35, 19, 34, 2
2020/4/15, 54, 34, , 4
2020/4/16, 61, 47, , 6
2020/4/17, 61, 42, , 5
2020/4/18, 53, 34, , 3
2020/4/19, 42, 23, , 1
2020/4/20, 44, 23, , 2
2020/4/21, 54, 28, , 2
2020/4/22, 53, 33, , 3
2020/4/23, 54, 45, , 5
2020/4/24, 67, 40, , 5
2020/4/25, 35, 19, , 
2020/4/26, 37, 20, , 1
2020/4/27, 59, 46, , 6
2020/4/28, 49, 38, , 5
2020/4/29, 24, 18, , 
2020/4/30, 14, 6, , 
2020/5/10, , 13, , 
2020/4/1, , 37, 29, 7
2020/4/2, , 47, 27, 6
2020/4/3, , 26, 36, 4
2020/4/4, , 18, 36, 3
2020/4/5, , 18, 36, 3
2020/4/6, , 18, 45, 4
2020/4/7, , 33, 33, 6
2020/4/8, , 37, 49, 7
2020/3/1, , 12, 30, 3
2020/3/2, , 10, 29, 8
2020/3/3, , 12, 26, 3
2020/3/4, , 15, 24, 3
2020/3/5, , 13, 24, 5
2020/3/6, , 9, 30, 4
2020/3/7, , 12, 31, 2
2020/3/8, , 12, 28, 3
2020/3/9, , 7, 27, 3
2020/3/10, , 8, 26, 5
2020/3/13, , 10, 29, 4
2020/3/14, , 10, 33, 2
2020/3/15, , 10, 29, 7
2020/3/16, , 28, 29, 6
2020/3/17, , 31, 32, 4
2020/3/18, , 29, 28, 6
2020/3/19, , 37, 28, 3
2020/3/20, , 31, 27, 
